partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
Unspecified,UNS,2018,6898304.99984409,,,,Asia,Western Asia,BHR,Bahrain
Saudi Arabia,SAU,2018,2108836.453989232,World,Asia,Western Asia,Asia,Western Asia,BHR,Bahrain
United Arab Emirates,ARE,2018,916417.2793525541,World,Asia,Western Asia,Asia,Western Asia,BHR,Bahrain
United States,USA,2018,686654.0466320297,World,Americas,Northern America,Asia,Western Asia,BHR,Bahrain
Oman,OMN,2018,664864.5823873272,World,Asia,Western Asia,Asia,Western Asia,BHR,Bahrain
"Egypt, Arab Rep.",EGY,2018,525296.1280329368,World,Africa,Northern Africa,Asia,Western Asia,BHR,Bahrain
China,CHN,2018,350320.7118059597,World,Asia,Eastern Asia,Asia,Western Asia,BHR,Bahrain
India,IND,2018,314666.5911996647,World,Asia,Southern Asia,Asia,Western Asia,BHR,Bahrain
Kuwait,KWT,2018,251668.47400476402,World,Asia,Western Asia,Asia,Western Asia,BHR,Bahrain
Turkey,TUR,2018,245045.2692807022,World,Asia,Western Asia,Asia,Western Asia,BHR,Bahrain
"Korea, Rep.",KOR,2018,121720.6893386856,World,Asia,Eastern Asia,Asia,Western Asia,BHR,Bahrain
Netherlands,NLD,2018,119818.7691562573,World,Europe,Western Europe,Asia,Western Asia,BHR,Bahrain
"Other Asia, nes",OAS,2018,116703.59173018973,,,,Asia,Western Asia,BHR,Bahrain
Unspecified,UNS,2018,109151.3565,,,,Americas,Caribbean,BRB,Barbados
United States,USA,2018,98844.653,World,Americas,Northern America,Americas,Caribbean,BRB,Barbados
Trinidad and Tobago,TTO,2018,34071.152500000004,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
Jamaica,JAM,2018,27461.606999999996,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
Guyana,GUY,2018,26859.893000000004,World,Americas,South America,Americas,Caribbean,BRB,Barbados
St. Lucia,LCA,2018,22705.627500000006,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
Antigua and Barbuda,ATG,2018,13605.479500000003,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
Canada,CAN,2018,12743.116,World,Americas,Northern America,Americas,Caribbean,BRB,Barbados
St. Vincent and the Grenadines,VCT,2018,12048.590499999998,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
Grenada,GRD,2018,11269.2995,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
United Kingdom,GBR,2018,10030.0095,World,Europe,Northern Europe,Americas,Caribbean,BRB,Barbados
Dominica,DMA,2018,9452.889000000003,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
St. Kitts and Nevis,KNA,2018,9410.6185,World,Americas,Caribbean,Americas,Caribbean,BRB,Barbados
France,FRA,2018,8888.464,World,Europe,Western Europe,Americas,Caribbean,BRB,Barbados
Russian Federation,RUS,2018,15485440.2,World,Europe,Eastern Europe,Europe,Eastern Europe,BLR,Belarus
Ukraine,UKR,2018,4455490.1,World,Europe,Eastern Europe,Europe,Eastern Europe,BLR,Belarus
United Kingdom,GBR,2018,3060705.4000000004,World,Europe,Northern Europe,Europe,Eastern Europe,BLR,Belarus
Netherlands,NLD,2018,1422684.9,World,Europe,Western Europe,Europe,Eastern Europe,BLR,Belarus
Germany,DEU,2018,1399381.9000000001,World,Europe,Western Europe,Europe,Eastern Europe,BLR,Belarus
